general_comment,recommendation_rating,sentimento_comida,justificativa_comida,sentimento_servico,justificativa_servico,sentimento_ambiente,justificativa_ambiente,sentimento_preco,justificativa_preco
"A comida estava ótima, mas o ambiente era sujo.",4,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
O atendimento foi excelente e o preço justo.,10,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
"Demorou muito para chegar, comida fria e ruim.",1,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
"Ambiente agradável e comida saborosa, recomendo!",9,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
"Preço alto e porção pequena, não vale a pena.",2,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
"O garçom foi muito educado, mas a música estava alta demais.",6,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
"A sobremesa estava deliciosa, voltarei com certeza.",10,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
O banheiro estava limpo e o ambiente aconchegante.,8,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
"A carne veio mal passada, pedi bem passada.",3,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
O restaurante estava lotado e o serviço foi lento.,3,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
Comida sem sabor algum.,2,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
Não gostei do atendimento.,2,Não Mencionado,[],Não Mencionado,[],Não Mencionado,[],Não Mencionado,[]
